630,510,590,610,500,40
400,660,90,640,630,170
180,230,20,610,10,90
290,80,400,590,100,260
540,90,680,40,160,210
450,190,420,530,480,160
460,370,290,530,680,80
360,320,220,580,100,100
650,140,460,680,610,130
130,620,100,530,320,210
630,220,50,430,570,240
320,260,200,380,580,30
660,570,50,690,210,130
540,410,90,30,210,250
600,390,330,40,460,60
550,100,50,670,280,90
380,280,330,320,620,150
450,50,470,540,220,30
390,40,480,450,110,90
680,170,200,630,320,190
620,310,560,460,290,80
310,210,110,410,590,210
180,490,660,170,590,90
240,220,230,620,450,50
180,10,510,150,260,260
390,210,480,410,630,60
10,190,520,400,370,150
610,260,450,50,220,130
680,630,140,80,610,240
510,530,360,230,600,150
530,200,540,460,80,130
650,90,440,360,320,10
80,620,310,360,150,110
320,180,310,480,450,160
20,290,90,270,420,90
250,670,540,440,130,50
300,160,410,480,530,160
570,410,500,260,10,110
420,230,590,460,330,40
20,220,630,190,180,190
160,100,520,400,550,170
60,620,320,470,650,190
520,100,610,280,130,20
90,30,330,70,310,200
330,50,420,380,280,190
370,640,170,90,50,20
490,200,420,140,660,50
520,170,160,130,60,250
90,600,640,430,570,100
390,120,490,690,200,170
180,620,660,680,280,220
450,250,230,670,520,20
410,90,580,400,530,120
550,690,230,640,590,130
10,160,130,430,30,240
370,630,120,240,30,100
170,160,420,410,290,40
10,280,30,670,570,90
300,230,440,580,160,40
380,520,420,510,280,210
250,680,400,540,330,30
160,400,80,480,10,100
390,180,660,370,260,150
320,210,120,440,660,150
490,640,480,410,530,200
270,260,330,80,100,220
30,450,250,140,180,70
210,170,370,440,190,160
70,610,410,470,320,30
240,610,430,160,280,210
280,610,630,410,650,70
200,80,270,520,170,240
280,310,540,250,10,20
310,500,690,210,510,80
180,540,610,130,370,50
420,480,200,210,190,230
480,560,20,160,30,240
10,550,330,280,560,220
430,630,160,380,100,230
640,490,570,230,670,200
340,440,300,160,370,160
30,640,680,610,540,90
600,290,180,270,80,150
120,640,500,610,20,10
300,530,620,380,520,10
150,70,290,410,200,220
630,670,10,690,280,170
510,190,90,620,550,140
100,310,230,280,110,140
30,170,490,680,550,80
230,550,330,220,290,210
390,590,70,670,500,250
100,560,240,610,50,120
480,320,630,40,490,200
250,110,90,650,640,160
680,30,210,60,600,240
440,490,330,500,520,80
440,380,640,690,600,60
640,560,610,230,670,120
520,330,470,360,200,120
660,270,110,90,670,20
320,210,170,230,110,50
100,470,680,650,500,240
390,50,350,70,230,110
60,580,660,250,350,50
110,500,400,170,620,260
570,150,290,30,540,100
320,280,100,640,610,120
660,570,20,310,240,180
630,390,590,340,100,40
290,370,230,640,600,60
360,30,560,690,270,250
140,420,430,520,400,170
530,20,230,630,410,110
330,40,240,310,220,100
360,580,270,410,200,70
370,690,120,250,600,200
200,160,430,640,220,170
400,690,330,230,300,120
60,340,330,590,580,120
640,240,590,410,110,150
90,320,50,70,230,260
250,670,390,230,540,110
640,270,650,130,470,90
690,320,520,660,200,230
250,660,440,50,260,90
470,690,300,660,570,30
320,160,30,340,120,140
250,390,640,20,330,170
460,620,590,350,190,130
620,300,120,250,520,80
320,30,250,510,180,30
300,350,380,330,640,220
140,230,410,610,220,90
650,280,490,600,40,250
90,610,280,400,300,30
550,240,630,530,440,190
230,420,680,520,110,60
220,150,490,50,80,250
110,600,230,540,430,30
460,500,120,130,100,210
280,110,500,570,620,230
320,340,140,230,680,30
30,340,270,590,690,190
620,520,130,120,440,60
220,110,530,210,100,180
670,210,650,310,640,50
540,120,110,160,150,250
290,270,70,400,170,250
70,150,360,180,190,200
20,620,400,500,30,50
130,40,360,310,520,80
260,600,670,310,280,230
160,50,120,310,430,180
400,520,30,670,120,210
320,220,400,690,340,190
440,50,390,690,470,240
610,520,510,640,30,60
80,270,340,40,190,100
320,160,190,570,340,130
470,20,630,620,110,170
420,150,60,50,290,100
120,610,540,380,360,220
650,400,440,590,270,200
670,160,630,380,550,250
300,680,590,410,280,100
90,420,100,550,320,60
